STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008025,African American,17127
GCST008025,Hispanic/Latino,21955
GCST008025,Asian,4647
GCST008025,Native Hawaiian,3936
GCST008025,Native American,645
GCST008055,African American,8349
GCST008055,Hispanic/Latino,15912
GCST008055,Asian,1811
GCST008055,Native Hawaiian,1777
GCST008055,Native American,574
GCST008054,African American,3274
GCST008054,Hispanic/Latino,13420
GCST008054,Asian,126
GCST008054,Native American,226
GCST008041,European,253288
GCST008041,African American,17286
GCST008041,Hispanic/Latino,22192
GCST008041,Asian,4680
GCST008041,Native Hawaiian,3939
GCST008041,Native American,647
GCST008040,European,303288
GCST008053,African American,17286
GCST008053,Hispanic/Latino,22192
GCST008053,Asian,4680
GCST008053,Native Hawaiian,3939
GCST008053,Native American,647
GCST008052,African American,10286
GCST008052,Hispanic/Latino,16472
GCST008052,Asian,3500
GCST008052,Native Hawaiian,3061
GCST008052,Native American,585
GCST008051,African American,1146
GCST008051,Hispanic/Latino,4917
GCST008051,Asian,1657
GCST008051,Native Hawaiian,1346
GCST008050,African American,9140
GCST008050,Hispanic/Latino,11555
GCST008050,Asian,1843
GCST008050,Native Hawaiian,1715
GCST008050,Native American,585
GCST008049,African American,8825
GCST008049,Hispanic/Latino,18251
GCST008049,Asian,543
GCST008049,Native American,606
GCST008048,African American,5971
GCST008048,Hispanic/Latino,4135
GCST008048,Asian,2004
GCST008048,Native Hawaiian,1534
GCST008048,Native American,167
GCST008048,African American,9630
GCST008048,Hispanic/Latino,16345
GCST008048,Asian,2572
GCST008048,Native Hawaiian,2017
GCST008048,Native American,452
GCST008046,African American,9980
GCST008046,Hispanic/Latino,17856
GCST008046,Asian,2381
GCST008046,Native Hawaiian,1915
GCST008046,Native American,604
GCST008045,African American,10137
GCST008045,Hispanic/Latino,17802
GCST008045,Asian,2387
GCST008045,Native Hawaiian,1915
GCST008045,Native American,604
GCST008044,African American,11380
GCST008044,Hispanic/Latino,21549
GCST008044,Asian,1086
GCST008044,Native American,636
GCST008043,African American,3293
GCST008043,Hispanic/Latino,13698
GCST008043,Asian,127
GCST008043,Native American,230
GCST008042,African American,3360
GCST008042,Hispanic/Latino,13702
GCST008042,Asian,129
GCST008042,Native American,231
GCST008039,African American,8850
GCST008039,Hispanic/Latino,18949
GCST008039,Asian,541
GCST008039,Native American,603
GCST008038,African American,3750
GCST008038,Hispanic/Latino,15522
GCST008038,Asian,128
GCST008038,Native American,20
GCST008037,African American,9720
GCST008037,Hispanic/Latino,17373
GCST008037,Asian,2316
GCST008037,Native Hawaiian,1900
GCST008037,Native American,591
GCST008036,African American,11863
GCST008036,Hispanic/Latino,8663
GCST008036,Asian,3102
GCST008036,Native Hawaiian,2645
GCST008036,Native American,342
GCST008036,African American,5289
GCST008036,Hispanic/Latino,13273
GCST008036,Asian,1561
GCST008036,Native Hawaiian,1060
GCST008036,Native American,293
GCST008035,African American,10085
GCST008035,Hispanic/Latino,17751
GCST008035,Asian,2378
GCST008035,Native Hawaiian,1912
GCST008035,Native American,604
GCST008034,African American,559
GCST008034,Hispanic/Latino,10408
GCST008034,Asian,92
GCST008034,Native American,4
GCST008033,African American,5525
GCST008033,Hispanic/Latino,12687
GCST008033,Asian,1547
GCST008033,Native Hawaiian,1397
GCST008033,Native American,395
GCST008032,African American,6457
GCST008032,Hispanic/Latino,13556
GCST008032,Asian,1918
GCST008032,Native Hawaiian,1400
GCST008032,Native American,412
GCST008031,African American,326
GCST008031,Hispanic/Latino,208
GCST008031,Asian,24
GCST008031,Native Hawaiian,21
GCST008031,Native American,1
GCST008031,African American,8739
GCST008031,Hispanic/Latino,16197
GCST008031,Asian,3576
GCST008031,Native Hawaiian,2925
GCST008031,Native American,52
GCST008030,African American,8261
GCST008030,Hispanic/Latino,18548
GCST008030,Asian,150
GCST008030,Native American,602
GCST008029,African American,11380
GCST008029,Hispanic/Latino,21549
GCST008029,Asian,1086
GCST008029,Native American,636
GCST008028,African American,11862
GCST008028,Hispanic/Latino,15837
GCST008028,Asian,3764
GCST008028,Native Hawaiian,3857
GCST008028,Native American,582
GCST008027,African American,7171
GCST008027,Hispanic/Latino,4198
GCST008027,Asian,1918
GCST008027,Native Hawaiian,2176
GCST008027,Native American,288
GCST008026,African American,1533
GCST008026,Hispanic/Latino,1339
GCST008026,Asian,575
GCST008026,Native Hawaiian,608
GCST008026,Native American,42
GCST008026,African American,13989
GCST008026,Hispanic/Latino,19581
GCST008026,Asian,3549
GCST008026,Native Hawaiian,2892
GCST008026,Native American,597
GCST008118,European,1622
GCST008118,European,8786
GCST008122,European,3264
GCST008122,European,5500
GCST008122,European,1683
GCST008122,European,2946
GCST008121,European,1622
GCST008121,European,8786
GCST008121,European,3264
GCST008121,European,5500
GCST008120,European,1683
GCST008120,European,2946
GCST008119,European,3264
GCST008119,European,5500
GCST008123,European,1622
GCST008123,European,8786
GCST008123,European,3264
GCST008123,European,5500
GCST008123,European,1683
GCST008123,European,2946
GCST008058,European,567460
GCST008058,East Asian,165726
GCST008058,African American,13842
GCST008058,South Asian,13359
GCST008058,Hispanic,4961
GCST008066,African American,13842
GCST008065,European,64164
GCST008065,European,561055
GCST008064,European,64164
GCST008064,European,561055
GCST008063,European,243029
GCST008062,European,416178
GCST008061,South Asian,13359
GCST008060,East Asian,165726
GCST008059,European,567460
GCST007999,European,523
GCST007999,African American,520
GCST007897,Thai,79
GCST007897,Thai,239
GCST007896,European,475
GCST007896,European,1134
GCST007949,African American,3432
GCST007949,African American,6977
GCST007950,African American,2768
GCST007950,African American,6059
GCST007992,European,31197
GCST007992,European,61770
GCST007921,Korean,893
GCST007921,Korean,1075
GCST007945,European,581
GCST007947,European,1558
GCST007947,European,381
