STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008121,European,7092
GCST008121,European,51761
GCST008058,European,216518
GCST008058,Hispanic,64204
GCST008059,European,216518
GCST007921,Korean,346
GCST007921,Korean,305
GCST007881,European,108
GCST007881,European,75545
GCST008103,European,9412
GCST008103,European,137760
GCST007832,Tiwi Islander,497
GCST007833,Japanese,2289
GCST007833,Japanese,3817
GCST007725,European,101293
GCST007808,European,4401
GCST007807,European,5819
GCST007806,European,5819
GCST007805,European,5819
GCST007804,European,4401
GCST007803,European,5819
GCST007802,European,5819
GCST007801,European,5819
GCST007731,East Asian,758
GCST007822,European,213
GCST007818,European,455
GCST007800,European,31759
GCST007800,European,214890
GCST007797,European,31002
GCST007797,European,16297
GCST007711,Korean,227
GCST007711,Korean,1061
GCST008096,Egyptian,321
GCST008096,Egyptian,253
GCST007799,European,16297
GCST007799,European,217711
GCST007718,European,109530
GCST007719,European,108800
GCST007717,European,108942
GCST007778,European,109166
GCST007721,European,109178
GCST007737,Han Chinese,234
GCST007737,Han Chinese,1018
GCST007736,Han Chinese,444
GCST007736,Han Chinese,808
GCST007690,European,3783
GCST007650,East Asian,758
GCST007277,Icelandic,706
GCST007277,Icelandic,6068
GCST007511,European,13292
GCST007511,European,17219
GCST007495,European,574
GCST007536,European,7379
GCST007388,European,17140
GCST007388,European,61850
GCST007430,European,24218
GCST007431,European,79005
GCST007432,European,79005
GCST007387,European,17140
GCST007387,European,61850
GCST007556,European,2119
GCST007556,European,142379
GCST007429,European,79005
GCST007616,Korean,2955
GCST007484,European,132177
GCST007503,European,62368
GCST007502,European,62368
GCST007501,European,62368
GCST007500,European,62368
GCST007496,European,62500
GCST007494,European,62500
GCST007493,European,62500
GCST007492,European,62500
GCST007491,European,132177
GCST007483,European,132177
GCST007487,European,132177
GCST007842,Han Chinese,2105
GCST007842,Han Chinese,3374
GCST007440,Korean,6000
GCST007439,Korean,6000
GCST007441,Korean,6000
GCST007438,Korean,6000
GCST007442,Korean,6000
GCST007437,Korean,6000
GCST007342,European,414055
GCST007342,European,892299
GCST007304,Asian,55
GCST007304,Asian,25
GCST007779,European,31
GCST007779,European,7125
GCST007406,European,81099
GCST007406,African,3073
GCST007406,South Asian,6921
GCST007406,Chinese,1422
GCST007406,Caribbean,3799
GCST008070,European,136986
GCST008070,African American or Afro Caribbean,4475
GCST008070,Asian,108431
GCST008070,Hispanic,13714
GCST008070,Brazilian,3652
GCST008071,European,71281
GCST008071,African American or Afro Caribbean,711
GCST008071,Asian,35088
GCST008071,Hispanic,3742
GCST008071,European,36267
GCST008071,African American or Afro Caribbean,1317
GCST008071,Asian,6152
GCST008071,Hispanic,2880
GCST008072,European,71281
GCST008072,African American or Afro Caribbean,711
GCST008072,Asian,35088
GCST008072,Hispanic,3742
GCST008072,European,36267
GCST008072,African American or Afro Caribbean,1317
GCST008072,Asian,6152
GCST008072,Hispanic,2880
GCST008073,European,71281
GCST008073,African American or Afro Caribbean,711
GCST008073,Asian,35088
