,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,EFOTerm,color
0,European,133492.0,30054594.0,MacGregor S,Intraocular pressure,initial,2018-07-27,GCST006394,Other measurement,intraocular pressure measurement,#d53e4f
1,European,394929.0,30048462.0,Kim SK,Heel bone mineral density,initial,2018-07-26,GCST006433,Other measurement,heel bone mineral density,#d53e4f
2,European,8372.0,30049742.0,Terzikhan N,Diffusing capacity of the lung for carbon monoxide traits,initial,2018-07-26,GCST006473,Other measurement,diffusing capacity of the lung for carbon monoxide,#d53e4f
3,European,92340.0,30046033.0,van Setten J,PR interval,initial,2018-07-25,GCST007045,Cardiovascular measurement,PR interval,#d53e4f
4,European,2740.0,30079052.0,Rujescu D,Vestibular neuritis,initial,2018-07-20,GCST006275,Neurological disorder,vestibular neuronitis,#d53e4f
5,European,491.0,30031151.0,Virtanen VB,Hirschsprung disease,initial,2018-07-18,GCST006272,Digestive system disorder,Hirschsprung disease,#d53e4f
6,European,331.0,30031151.0,Virtanen VB,Hirschsprung disease,replication,2018-07-18,GCST006272,Digestive system disorder,Hirschsprung disease,#d53e4f
7,European,454.0,30031151.0,Virtanen VB,Hirschsprung disease,initial,2018-07-18,GCST006271,Digestive system disorder,Hirschsprung disease,#d53e4f
8,European,2079.0,30093639.0,Machiela MJ,Ewing sarcoma,initial,2018-08-09,GCST006467,Cancer,ewing sarcoma,#d53e4f
9,European,4735.0,30093639.0,Machiela MJ,Ewing sarcoma,replication,2018-08-09,GCST006467,Cancer,ewing sarcoma,#d53e4f
12,European,12308.0,30089514.0,Chen JA,Progressive supranuclear palsy,initial,2018-08-08,GCST006418,Neurological disorder,progressive supranuclear palsy,#d53e4f
13,European,98.0,30087447.0,Aubart M,Severe aortic features in Marfan syndrome,initial,2018-08-07,GCST006957,Neurological disorder,Marfan syndrome,#d53e4f
14,European,98.0,30087447.0,Aubart M,Severe aortic features in Marfan syndrome,initial,2018-08-07,GCST006957,Cardiovascular disease,thoracic aortic aneurysm,#d53e4f
15,European,24196.0,30087453.0,Yilmaz Z,Anorexia nervosa or obsessive-compulsive disorder,initial,2018-08-07,GCST006576,Metabolic disorder,anorexia nervosa,#d53e4f
16,European,24196.0,30087453.0,Yilmaz Z,Anorexia nervosa or obsessive-compulsive disorder,initial,2018-08-07,GCST006576,Neurological disorder,obsessive-compulsive disorder,#d53e4f
17,Hispanic/Latin American,77.0,30092369.0,Mainali B,Infection persistence (>18 months) in genital human papillomavirus 16 infection,initial,2018-08-06,GCST008308,Other disease,chronic human papillomavirus infection,#807dba
18,European,90.0,30092369.0,Mainali B,Infection persistence (>18 months) in genital human papillomavirus 16 infection,initial,2018-08-06,GCST008308,Other disease,chronic human papillomavirus infection,#d53e4f
19,African Am./Caribbean,24.0,30092369.0,Mainali B,Infection persistence (>18 months) in genital human papillomavirus 16 infection,initial,2018-08-06,GCST008308,Other disease,chronic human papillomavirus infection,#fee08b
20,Asian,1502.0,30099483.0,Hwangbo Y,Thyroid nodules,initial,2018-08-06,GCST006387,Other disease,thyroid nodule,#3288bd
21,Asian,5081.0,30099483.0,Hwangbo Y,Thyroid nodules,replication,2018-08-06,GCST006387,Other disease,thyroid nodule,#3288bd
22,European,3200.0,30072576.0,Emilsson V,Blood protein levels,initial,2018-08-02,GCST006585,Other measurement,blood protein measurement,#d53e4f
23,European,732.0,30145303.0,Kimbrel NA,Suicide attempts,initial,2018-07-17,GCST006428,Biological process,attempted suicide,#d53e4f
25,European,733.0,30145303.0,Kimbrel NA,Suicidal ideation,initial,2018-07-17,GCST006429,Biological process,suicidal ideation,#d53e4f
